review,rating,support
"Messenger is NOT working! For some reason, I am not getting message requests from people who are not on my friends list and have told me they have messaged me but am not receiving they're messages. Please fix this! I want people to be able to contact me again. And they are also being blocked without...Full ReviewMessenger is NOT working! For some reason, I am not getting message requests from people who are not on my friends list and have told me they have messaged me but am not receiving they're messages. Please fix this! I want people to be able to contact me again. And they are also being blocked without my doing too. I have not blocked them and they're account keeps saying 'Facebook User'. Messenger has a big problem. Please fix this as soon as possible!",3,18560
"I really like using this App, But unfortunately it keeps taking forever to log in and log out. Please update, I really don't mind the new features. Another Thing: Whenever you want to Video Call someone and you push the end button it wouldn't disappear like it should and it gets stuck. Please fix th...Full ReviewI really like using this App, But unfortunately it keeps taking forever to log in and log out. Please update, I really don't mind the new features. Another Thing: Whenever you want to Video Call someone and you push the end button it wouldn't disappear like it should and it gets stuck. Please fix this. The other issue is can you guys please fix the lag? It's really driving me crazy.",5,8673
"My notifications are now stuck on ""13 new messages"" but I can't find them anywhere. Also, I can't figure out (since the last 2 updates) how to see messages from non-friends. Reading reviews, it seems like everyone is having problems with these latest updates. Update on 5-10-19: New update still suck...Full ReviewMy notifications are now stuck on ""13 new messages"" but I can't find them anywhere. Also, I can't figure out (since the last 2 updates) how to see messages from non-friends. Reading reviews, it seems like everyone is having problems with these latest updates. Update on 5-10-19: New update still sucks, still can't find filtered messages. Scream!",1,1447
"I love messenger. It's by far the most convenient messaging app I know. It's super effective for reaching anyone you know and sharing media and content is so easy. The only issue I have is that often times when I send a message it will ""deliver"" but not always be ""sent"" meaning they dont receive it ...Full ReviewI love messenger. It's by far the most convenient messaging app I know. It's super effective for reaching anyone you know and sharing media and content is so easy. The only issue I have is that often times when I send a message it will ""deliver"" but not always be ""sent"" meaning they dont receive it as soon as I send it. It's been happening multiple times a day where it takes any given time of 5-20 minutes to send a single message.",4,11899
"I was sort of aggravated by the abundance of notifications received, but sometimes it's great to see a friend who youve nearly forgotten about, and the nostalgia of my past experiences which I enjoyed with these friends are so reinvigorating and invaluable. I only ask that when contacting me, please...Full ReviewI was sort of aggravated by the abundance of notifications received, but sometimes it's great to see a friend who youve nearly forgotten about, and the nostalgia of my past experiences which I enjoyed with these friends are so reinvigorating and invaluable. I only ask that when contacting me, please keep it real and to the point. God bless you all. It's been months since I have only today just reopened my life back up enough to touch base with my old gangland brothers. The insanity has passed.",5,14593
"Apparently, i've been using messenger for years now and i haven't encountered any errors or bugs, but today i'm stuck with one. When i click a photo to use my data and view it. There should be an option which will pop up but now, it only shows a box with literally nothing in it. No text, no buttons....Full ReviewApparently, i've been using messenger for years now and i haven't encountered any errors or bugs, but today i'm stuck with one. When i click a photo to use my data and view it. There should be an option which will pop up but now, it only shows a box with literally nothing in it. No text, no buttons. Nothing. I think it only occured when i updated it to this day's latest one since I've tried it on messenger lite, it works and shows the option to use data. Please fix ASAP..",2,4489
"This app deviates more and more from its core functionality. It's a bloated corpse at this point. Shoving stories in our face is the worst example. To see what a well designed messaging app looks like, download Lite. Only problem is that it doesn't have all the stickers. Edit: They changed the sound...Full ReviewThis app deviates more and more from its core functionality. It's a bloated corpse at this point. Shoving stories in our face is the worst example. To see what a well designed messaging app looks like, download Lite. Only problem is that it doesn't have all the stickers. Edit: They changed the sounds which is annoying since I associate the old one with FB. The new sounds are more intrusive and you can't get the old one back.",1,772
"With the last update, you can't mute the sounds, it's overriding the volume controls. I had every volume category muted and still getting loud beeps and bongs and whatever else noise it makes. That's ridiculous. You can completely stop all notifications to get it to shut up, but then you don't get a...Full ReviewWith the last update, you can't mute the sounds, it's overriding the volume controls. I had every volume category muted and still getting loud beeps and bongs and whatever else noise it makes. That's ridiculous. You can completely stop all notifications to get it to shut up, but then you don't get anything, not even vibrations. Update: They fixed the sound issue not too long after my review.",4,1475
"The app worked mostly well before the previous two updates. The first of the two caused every video I received to black out as soon as it was over (or if another was sent in succession while viewing the first one), and the only way to solve the issue has been to close the app and open it every singl...Full ReviewThe app worked mostly well before the previous two updates. The first of the two caused every video I received to black out as soon as it was over (or if another was sent in succession while viewing the first one), and the only way to solve the issue has been to close the app and open it every single time. The chat bubble will also make my phone screen black when I move it around occasionally. Nothing changed alongside the most recent update.",2,25210
"it's good. but today it is not working well... sometimes it can not open picture and photo.. and it was very problematic. please solve the problem. I think it would be better if they solve the problem as soon as possible. i don't know. why it is not working. but few days age it was working very nice...Full Reviewit's good. but today it is not working well... sometimes it can not open picture and photo.. and it was very problematic. please solve the problem. I think it would be better if they solve the problem as soon as possible. i don't know. why it is not working. but few days age it was working very nicely. but suddenly it seems that messenger is unable to open photos, and some times it creates problem to open photo and making video call and audio chats. it would be better if they solved this....",1,2542
Ive had this app for many years and i have never had any problems with anything. Calls are always clear and messages come and go perfectly. I love all the extra little things that u can do and read. Like recv'g quotes and horoscopes and DIY tips and U can even recv baking tips!! The list goes on and...Full ReviewIve had this app for many years and i have never had any problems with anything. Calls are always clear and messages come and go perfectly. I love all the extra little things that u can do and read. Like recv'g quotes and horoscopes and DIY tips and U can even recv baking tips!! The list goes on and on!! Keep up the GREAT WORK. AND PLEASE KEEP IMPROVING!!!,5,1131
"I like Messenger, but get tired of it not connecting to my other account when I go to switch between my account and my daughters. When it works it is great but when it decides to not work I have to uninstall and reinstall the app. This has been happening for the past few months and it happens at lea...Full ReviewI like Messenger, but get tired of it not connecting to my other account when I go to switch between my account and my daughters. When it works it is great but when it decides to not work I have to uninstall and reinstall the app. This has been happening for the past few months and it happens at least every other week. Having to uninstall and reinstall is getting old. Never had this problm until the last few updates. Please fix the glitches!!!!!!!!!!",3,401
