review,rating,support
"Remember old Snapchat? When it was just for connecting with friends? It's a shame they couldn't make that profitable. Why couldn't they just have put ads between friends' stories and called it good? Discovery used to be decent, but now it's just toxic, clickbaity garbage. Not to mention that Instagr...Full ReviewRemember old Snapchat? When it was just for connecting with friends? It's a shame they couldn't make that profitable. Why couldn't they just have put ads between friends' stories and called it good? Discovery used to be decent, but now it's just toxic, clickbaity garbage. Not to mention that Instagram copied stories and did it 10x better, with interactive content and links to other apps. I only use this app because I don't have any other alternatives, and that's a very, very bad thing.",1,685
"Ok, it's an entertaining and addicting app but there's this glitch or bug that keeps happening to me. whenever I click my bitmoji icon in the corner it doesn't load much, and then it exits out of the app and leaves me on my homepage. The same thing happens when I click my contacts icons. Please fix ...Full ReviewOk, it's an entertaining and addicting app but there's this glitch or bug that keeps happening to me. whenever I click my bitmoji icon in the corner it doesn't load much, and then it exits out of the app and leaves me on my homepage. The same thing happens when I click my contacts icons. Please fix this, Snapchat! Overall, it's pretty good and the lenses are a fun addition to it. 3/5 for me.",3,1869
"An update was released for bug fixes but didn't fix the bug with sending snaps at all... Still getting the exact same error. Started having an issue yesterday where I can't send snaps or pictures at all, they just fail to send over and over. Chat is still working and I can receive snaps with no prob...Full ReviewAn update was released for bug fixes but didn't fix the bug with sending snaps at all... Still getting the exact same error. Started having an issue yesterday where I can't send snaps or pictures at all, they just fail to send over and over. Chat is still working and I can receive snaps with no problem. I've reinstalled the app, cleared my cache, done everything I could possibly do to fix it and still having the same problem. It's super frustrating that it's not being addressed by support.",1,10821
"This app has been INCREDIBLY slow the last few months to the point where I almost never open it anymore. I've had the app since 2013 and I'm probably a week away from just removing it from my phone, because it always shuts down when I open the app, or freezes for a good minute or two. Anytime I try ...Full ReviewThis app has been INCREDIBLY slow the last few months to the point where I almost never open it anymore. I've had the app since 2013 and I'm probably a week away from just removing it from my phone, because it always shuts down when I open the app, or freezes for a good minute or two. Anytime I try to take a video with music, it freezes and stops the music. I'm pretty disappointed!",2,5497
"New update doesn't allow you to save snap clips as one story. It now saves them as individual clips. About to leave this platform. Just like Google, a new algorithm and update every week. We're all tired of it. Also when you upload a picture to our stories there is never any views, but when you uplo...Full ReviewNew update doesn't allow you to save snap clips as one story. It now saves them as individual clips. About to leave this platform. Just like Google, a new algorithm and update every week. We're all tired of it. Also when you upload a picture to our stories there is never any views, but when you upload a video to our stories you get hundreds of views. Broken.",1,659
"The new update is more reliable, but has lost some functionality. Snapchat has disappeared from my ""share"" menu. If I am in my gallery or on another site I can no longer choose to share a photo or video directly to Snapchat. That is a big inconvenience. I have set my stories to save automatically an...Full ReviewThe new update is more reliable, but has lost some functionality. Snapchat has disappeared from my ""share"" menu. If I am in my gallery or on another site I can no longer choose to share a photo or video directly to Snapchat. That is a big inconvenience. I have set my stories to save automatically and they don't. I can no longer save a story as one MP4 or to memories as one story. Please bring these important features back.",3,556
"The latest update made it so that the moving stickers are a problem. Whenever I get sent a snap with a moving sticker, it's broken. More than half of the screen is green and I can't see the actual snap. Also the snap stays unopened. It never registers that I opened it. Which makes it so that I can't...Full ReviewThe latest update made it so that the moving stickers are a problem. Whenever I get sent a snap with a moving sticker, it's broken. More than half of the screen is green and I can't see the actual snap. Also the snap stays unopened. It never registers that I opened it. Which makes it so that I can't see if that person sent something else, since the snap is there unopened forever.",1,633
"I have people's stories ""muted"" so I do not watch them but still able to chat. That feature is broken, the app plays them anyway. Muting sound in my videos only works some of the time including on my own story. I'll watch it one time and it is silent but watch again and the sound is back.",3,468
"Very dissatisfied with this app. When I go to save my entire story, it doesn't save into the ""story"" section like it used to where you can replay the story in the order that the story was recorded. Instead it saves a bunch of 10 section clips of each panel in your memories that are scattered about. ...Full ReviewVery dissatisfied with this app. When I go to save my entire story, it doesn't save into the ""story"" section like it used to where you can replay the story in the order that the story was recorded. Instead it saves a bunch of 10 section clips of each panel in your memories that are scattered about. I used to save a whole day's worth of stories on each day of a vacation, now all I get are 30 bits of 10 section clips that I cannot reply over that are just useless for me. Great job screwing this up",1,492
"I have an Honor 8x. The app has been updated and is much snappier now but the problem that remains in the front facing camera. It is to zoomed in to even use! When taking a selfie, I would like to be able to get more into a picture than just my nose! Please fix. The aspect ratio needs to be wound do...Full ReviewI have an Honor 8x. The app has been updated and is much snappier now but the problem that remains in the front facing camera. It is to zoomed in to even use! When taking a selfie, I would like to be able to get more into a picture than just my nose! Please fix. The aspect ratio needs to be wound down to 4:3. Thank you!",1,269
