review,rating,support
"I love this app I have encouraged many ppl to also give it a try. You are in control who can see your status. A pop up appears when someone who is not in your contacts on your page, and you can delet . Needs fixing...to be able to get rid of contacts that you approved of in the past, but no longer w...Full ReviewI love this app I have encouraged many ppl to also give it a try. You are in control who can see your status. A pop up appears when someone who is not in your contacts on your page, and you can delet . Needs fixing...to be able to get rid of contacts that you approved of in the past, but no longer want...Update 5 /15/19 whatsapp was hacked!!! Why were we not told so by developers...",3,4332
"What's App has revolutionized how the humankind communicates. Even as I say this, a word of caution is warranted! We should rule our technology rather than letting technology rule us! So, exercising restraint and discretion are the key. If used properly, What's App is the default mode of digital com...Full ReviewWhat's App has revolutionized how the humankind communicates. Even as I say this, a word of caution is warranted! We should rule our technology rather than letting technology rule us! So, exercising restraint and discretion are the key. If used properly, What's App is the default mode of digital communication for me. Thank you for the efforts you are putting in, to make it even more user friendly. Rajesh Talwar",5,10392
"You would think at this point in time, some features would be a no brainer. A simple dark mode would really go a long way. Also, why can't I restore a local backup after installing the app? It would really come in handy. Also, I wish there was an option to turn off auto downloads for status updates!...Full ReviewYou would think at this point in time, some features would be a no brainer. A simple dark mode would really go a long way. Also, why can't I restore a local backup after installing the app? It would really come in handy. Also, I wish there was an option to turn off auto downloads for status updates! Seriously! I keep updating this app yet it remains the same. it's like the updates are put there by the guys maintaining the app to please their bosses!",1,34316
"sometimes blurry and drops calls at a rate of about 1x per 6 hours but then would pick back up within a minute or two. honestly it deserves a 5. it's free, international, minimal downtime. I've had calls last for up to 36 hours with very very short interruptions. maybe 5-10 minutes. and it's usually...Full Reviewsometimes blurry and drops calls at a rate of about 1x per 6 hours but then would pick back up within a minute or two. honestly it deserves a 5. it's free, international, minimal downtime. I've had calls last for up to 36 hours with very very short interruptions. maybe 5-10 minutes. and it's usually because of my or the recipient's connection to the Internet.",5,3404
"A notice was put out over in the news stating that due to a trojan or virus, that people should update their app. HOW IN THE WORLD DO YOU UPDATE THIS APP!?!?!?!? I am no newbie. I know how to update apps. It is not typically difficult to find the update button or instructions on how to do it. NOT SO...Full ReviewA notice was put out over in the news stating that due to a trojan or virus, that people should update their app. HOW IN THE WORLD DO YOU UPDATE THIS APP!?!?!?!? I am no newbie. I know how to update apps. It is not typically difficult to find the update button or instructions on how to do it. NOT SO WITH WHATSAPP! I have no idea how to update this app, or if it has been updated automatically, or what is the latest version and what the app update version is so that I can verify I am safe!",1,1556
"WhatsApp has always been one of my primary communication app of all time. I have been using it for years now. I'm thrilled with the simplicity it got, but it would be better if you can keep up with the features aligned with other communication apps it would be fantastic. Add the ability to translate...Full ReviewWhatsApp has always been one of my primary communication app of all time. I have been using it for years now. I'm thrilled with the simplicity it got, but it would be better if you can keep up with the features aligned with other communication apps it would be fantastic. Add the ability to translate any language on the go would be great, making communication with other people alot more simpler. specially dealing with businesses from different country.",5,111550
May be the best for others but it has given me a hard time. When it was most important for me to access my account I was not given permission to do so. Firstly it asked for 12 hours to wait for getting otp then it asks for 24 hours to wait. After trying for 10 times you get otp once that too after 2...Full ReviewMay be the best for others but it has given me a hard time. When it was most important for me to access my account I was not given permission to do so. Firstly it asked for 12 hours to wait for getting otp then it asks for 24 hours to wait. After trying for 10 times you get otp once that too after 2-3 hours(when it gets expired). This was the worst experience from WhatsApp. On asking for help these people send you a mail that you are using an unofficial app and blah blah...,1,25141
"Just uninstalled and reinstalled WhatsApp again! According to the CBC's news, today, to get rid of the spyware installed by hackers! Why was this not right away posted by you? And send as an alert? Had to hear this now for the second time the news channels, where they suggested to uninstall and rein...Full ReviewJust uninstalled and reinstalled WhatsApp again! According to the CBC's news, today, to get rid of the spyware installed by hackers! Why was this not right away posted by you? And send as an alert? Had to hear this now for the second time the news channels, where they suggested to uninstall and reinstall! A public answer would be greatly appreciated! Thank you!! I do enjoy WhatsApp messenger as keeps me connected with my family and friends! 4 stars only because of this fiasco!",4,961
"I am receiving delayed messages after the update and it definitely has not been great. notifications does not pop out unless I launch the app, which is useless. Whatsapp is an important app that I use daily n I hope this issue is fixed ASAP. until then it'll continue to be 2 stars. Edit : This issue...Full ReviewI am receiving delayed messages after the update and it definitely has not been great. notifications does not pop out unless I launch the app, which is useless. Whatsapp is an important app that I use daily n I hope this issue is fixed ASAP. until then it'll continue to be 2 stars. Edit : This issue has been fixed but now calls can't get through? weird as it doesn't work as it should... this is so frustrating.. please fix this... this is after latest update I suppose..",2,44901
"I've been using the app for 4+ yrs, its been great, doesn't interfere with use of phone. I particularly like having some degree of ""phone privacy"", more people using it and the ability to share large files. I've used it to call internationally, with fairly good results. Occasionally I was unable to ...Full ReviewI've been using the app for 4+ yrs, its been great, doesn't interfere with use of phone. I particularly like having some degree of ""phone privacy"", more people using it and the ability to share large files. I've used it to call internationally, with fairly good results. Occasionally I was unable to get through, but most of the time I was able to reach my party. The inability to get through may not be due the app! I'm very satisfied with this app and highly recommend it!",5,2676
