review,rating,support
"It's a really good app, but with some odd limitations, which kind of need to be fixed. 1: You cant trim your videos, sure there's a timer, but there's almost no way you can count out the exact amount of seconds you're going to need, it would be easier with trim. 2: If you see a video that says, ""due...Full ReviewIt's a really good app, but with some odd limitations, which kind of need to be fixed. 1: You cant trim your videos, sure there's a timer, but there's almost no way you can count out the exact amount of seconds you're going to need, it would be easier with trim. 2: If you see a video that says, ""duetthis"" you can't see if anyone has duetted it, and you cant search for a specific video, only hashtags. 3: you can't see when a video was posted.",4,16357
"While you're browsing other people's posts, its fine and dandy, but (for me at least), I was trying to pick a sound to make a post with, but every 17 seconds, 17 SECONDS, an ad would pop up. And when I would exit the ad, it would take me out of the sound library thing, so i would have to go SEARCHIN...Full ReviewWhile you're browsing other people's posts, its fine and dandy, but (for me at least), I was trying to pick a sound to make a post with, but every 17 seconds, 17 SECONDS, an ad would pop up. And when I would exit the ad, it would take me out of the sound library thing, so i would have to go SEARCHING for the sound i was looking at. So annoying.",3,65606
"It's such a good app!!! it allows you to express yourself to your followers, develop a fan base and soo much more!!! if you are thinking about downloading it go ahead!!!! dont worry if you don't want a lot of people seeing your videos because you can have your account on private and then people can ...Full ReviewIt's such a good app!!! it allows you to express yourself to your followers, develop a fan base and soo much more!!! if you are thinking about downloading it go ahead!!!! dont worry if you don't want a lot of people seeing your videos because you can have your account on private and then people can send you follow requests which you can either accept or decline xxx",5,54220
":( This app has given me so much joy, but suddenly none of what I post is getting to the For You page which makes creating new content seem pointless. I was getting hundreds of followers a day to maybe 3 if im lucky. The support team has done nothing to give me insight on this issue. This is a probl...Full Review:( This app has given me so much joy, but suddenly none of what I post is getting to the For You page which makes creating new content seem pointless. I was getting hundreds of followers a day to maybe 3 if im lucky. The support team has done nothing to give me insight on this issue. This is a problem that needs to be fixed. The new algorithm is hurting active creators.",3,9256
"I would give more than 2 stars, but that is impossible for mostly one reason. I love Tik Tok. I love the content I've found there, made at least one friend. The one reason it gets two stars...IS BECAUSE I CAN HARDLY EVER FINISH WATCHING A VIDEO. It will play for different amounts of time each viewin...Full ReviewI would give more than 2 stars, but that is impossible for mostly one reason. I love Tik Tok. I love the content I've found there, made at least one friend. The one reason it gets two stars...IS BECAUSE I CAN HARDLY EVER FINISH WATCHING A VIDEO. It will play for different amounts of time each viewing, but it never reaches the end and it drives me insane! It makes me remember why I stopped using this app in the first place. I recently tried to use it again, and it did the same. PLEASE FIX THIS!",2,693
"It would get more than 2 stars, but creators don't get support from the owners of this app. You can meet some awesome people on here, but you pretty much cannot be an adult on this app. If you try, your vids will be reported and/or your live. Some creators have lost their live for over 5 months alre...Full ReviewIt would get more than 2 stars, but creators don't get support from the owners of this app. You can meet some awesome people on here, but you pretty much cannot be an adult on this app. If you try, your vids will be reported and/or your live. Some creators have lost their live for over 5 months already or their whole account w/o an explanation. Also, usually updates cause glitches and trying to get that fixed is tiring. If you are lucky, you'll get an automated response back. That's about it.",2,1580
I downloaded this app about a year ago.but I deleted it because i woke up one morning and all 200 videos and followers we GONE. i couldn't get them back. when I tried to make a new account it said I wasn't able to watch anyone else videos or add people so I just deleted it. if this happens to you I'...Full ReviewI downloaded this app about a year ago.but I deleted it because i woke up one morning and all 200 videos and followers we GONE. i couldn't get them back. when I tried to make a new account it said I wasn't able to watch anyone else videos or add people so I just deleted it. if this happens to you I'm sorry but you'll probably never get your videos back. I will probably NEVER download this app again. I was so angry when I found out that morning. it told me they saved the videos but they DIDNT. 😡,1,684
"Tiktok is garbage! If you report a problem they must answer you and help you but they don't. I have written them 3 messages in the last week and they never respond. And they kicked me out of my account. They say Im not the user of this account but I am and I asked them to delete it but they don't. D...Full ReviewTiktok is garbage! If you report a problem they must answer you and help you but they don't. I have written them 3 messages in the last week and they never respond. And they kicked me out of my account. They say Im not the user of this account but I am and I asked them to delete it but they don't. Don't download Tiktok, it's not worth your time.",1,1109
"It's a good app overall, get to see cool people having fun with little videos, but it keeps deleting videos that have not broken the guidelines. They need to figure out what they are doing with their stupid report function before they lose people because of it. Edit #1 I'm getting tired of my videos...Full ReviewIt's a good app overall, get to see cool people having fun with little videos, but it keeps deleting videos that have not broken the guidelines. They need to figure out what they are doing with their stupid report function before they lose people because of it. Edit #1 I'm getting tired of my videos being reported even though they dont break the guidelines.",3,2329
"tiktok app is just amazing...i love it😍...bt there is a problem, i have 1k fans bt i can't live..why??? Whenever I'm clicking go live option, it is showing it ""as part of ongoing product improvements, this feature may not be available to some users at the time""........Let me know if anyone knows ho...Full Reviewtiktok app is just amazing...i love it😍...bt there is a problem, i have 1k fans bt i can't live..why??? Whenever I'm clicking go live option, it is showing it ""as part of ongoing product improvements, this feature may not be available to some users at the time""........Let me know if anyone knows how to do this and what to do🙏🙏🙏...pls help",5,1344
"I had an account for about 4-5 years and all of it is gone. my followers videos, messages. everything this isn't okay and I won't stand for it. sure I had a little amount of followers which was about 400,still this isn't okay my account was deleted and I'm 17 rn. I started this account when I was 13...Full ReviewI had an account for about 4-5 years and all of it is gone. my followers videos, messages. everything this isn't okay and I won't stand for it. sure I had a little amount of followers which was about 400,still this isn't okay my account was deleted and I'm 17 rn. I started this account when I was 13. completely unfair. I thought that when I tried to login that I had put in the wrong password, but in fact, I had put the right password. I made another account and my old account didnt show up",1,1513
"I LOVE THIS APP! I can show my creativity a lot. I told my friend about it today, and she said these excact words: ######(my name) I NEED THIS APP RIGHT NOW. (after downloading) I LOVE IT! And i agree with her 100 percent. Thank you sooo much for making this app me and my friends love it so much.",4,1197
"It'sone of the best apps! It is an amazing platform to showcase our talent.Youngsters can make use of it in the most beneficial way!People of any age group can showcase their talent through this app.Recipes, acting, empowering messages through videos, motivational speeches/videos, shayari, entertaim...Full ReviewIt'sone of the best apps! It is an amazing platform to showcase our talent.Youngsters can make use of it in the most beneficial way!People of any age group can showcase their talent through this app.Recipes, acting, empowering messages through videos, motivational speeches/videos, shayari, entertaiment & what not!This app has given an identity to many,made them popular,their dreams have come true through this app! Its an open app & anyone across the world can us it!Finally its back!Love it♥️",5,1670
I love this app but I wish everyone were able to stream live like you could on musically. I find only being able to go live with 1000 fans kind of ridiculous and annoying. EDIT: MY FREAKING ACCOUNT GOT DELETED. I HAD 246 FOLLOWERS AND 3.3K HEARTS. I'M SO MAD AND UPSET RIGHT NOW. IT TOOK ME THREE YEA...Full ReviewI love this app but I wish everyone were able to stream live like you could on musically. I find only being able to go live with 1000 fans kind of ridiculous and annoying. EDIT: MY FREAKING ACCOUNT GOT DELETED. I HAD 246 FOLLOWERS AND 3.3K HEARTS. I'M SO MAD AND UPSET RIGHT NOW. IT TOOK ME THREE YEARS TO GET THERE. NOW IT'S ALL GONE AND I HAVE TO START OVER!!!,3,657
"It let's me experience diffrent songs with diffrent motions and I like that you can private your posts unlike instagram!!! I like that there are many songs and many filters and u get to save the filters,songs,videos,and other things so u can find them easily. 100% recommend❤❤❤ so today I loged out o...Full ReviewIt let's me experience diffrent songs with diffrent motions and I like that you can private your posts unlike instagram!!! I like that there are many songs and many filters and u get to save the filters,songs,videos,and other things so u can find them easily. 100% recommend❤❤❤ so today I loged out of my account and it won't let me go back in it and my password is correct",5,408
"You know why. Please improve your content as in educational, creativity, intellectual etc. Why the videos are just from India, there should be an option where I could be able to see the content from different countries like russia, africa, norway, Sweden etc. In this way content would be more intere...Full ReviewYou know why. Please improve your content as in educational, creativity, intellectual etc. Why the videos are just from India, there should be an option where I could be able to see the content from different countries like russia, africa, norway, Sweden etc. In this way content would be more interesting and full of creativity as different people thoughts are different.",1,1804
"Needs to give us an option to make the ""Following"" page our default page when opening the app instead of the ""For You"" page. Will give five stars if you fix that. Also, can you add an option to not automatically play videos when opening the app. Most videos are so damn loud!",1,659
"I'm enjoying the app, however I'm finding a problem recently where, when creating a Duet, it will not play the entirety of the original 15-second clip, so it cuts off before the end, thereby losing the desired effect. Please look into correcting that. Running on Galaxy S10.",4,1314
i think this app has given me chance to finish my 1.5GB .I really like this app because it entertain us nd compel us to make videos as well .Through this app we can show our creativity nd we also get to know ourshelves that how better we can act .I never want to lose this app which is full of entert...Full Reviewi think this app has given me chance to finish my 1.5GB .I really like this app because it entertain us nd compel us to make videos as well .Through this app we can show our creativity nd we also get to know ourshelves that how better we can act .I never want to lose this app which is full of entertainment .,5,1134
"There is really good for editing videos, but sometimes the app doesn't get what it means when I click the 'not interested' button on the for you page. There's this boring trend I have no interest in, but it's still coming up. Sometimes people ruin songs with tik tok.🤷🏻‍♀️😕",3,517
"I like musically better, this app used to be way more kid friendly and now it's not. I love the app but it definitely needs to be fixed. I personally want musically back and yes Tim too is cool bit not kid friendly anymore. The sounds, videos and comments are awful and the bullies oh don't even get ...Full ReviewI like musically better, this app used to be way more kid friendly and now it's not. I love the app but it definitely needs to be fixed. I personally want musically back and yes Tim too is cool bit not kid friendly anymore. The sounds, videos and comments are awful and the bullies oh don't even get me started",3,1096
"Tik Tok is a very addicting and fun app, but there is a lot of hate and negativity that goes on, and I feel like there should be more boundaries than just swearing. everything else is perfectly fine! this app is much better when you're on an Apple device though.",5,1112
"So, in the first few years of TikTok, I grew to enjoy it, for a variety of reasons. However, in 2019 TikTok earased ALL accounts under 13. And I understand the reasoning for that, but it just doesn't make any sense. Half of the app has kids under 13, and when you earase all their followers, musers, ...Full ReviewSo, in the first few years of TikTok, I grew to enjoy it, for a variety of reasons. However, in 2019 TikTok earased ALL accounts under 13. And I understand the reasoning for that, but it just doesn't make any sense. Half of the app has kids under 13, and when you earase all their followers, musers, friends, etc. then how is anyone going to gain any fans??? People will start to die down, and the app won't be famous anymore.",2,551
"It is good but gets really addictive and I couldn't sleep because of it. It has great privacy so if you are a parent you don't need to worry about your child's privacy. You can post videos on private, your account can also be private so i really recommend this app just don't go on it too much.",5,1692
this is the platform of art...... because of this app many of the candidates r in good position.... I really love this app.... if you think this is the wasting of time then your concept is wrong... everything has negative and positive way but we have to choose the positive all this is optional if yo...Full Reviewthis is the platform of art...... because of this app many of the candidates r in good position.... I really love this app.... if you think this is the wasting of time then your concept is wrong... everything has negative and positive way but we have to choose the positive all this is optional if you want to choose positive you can choose positive if you do not want to positive and you will choose negative for this only you are the responsible no one else....,5,448
"The app is user friendly, you can also follow your favorites, to get new videos from them. I especially like Venus, the two-faced cat, Dancin' Dustin who is an inspiration to my Autistic teenage Son, and Cory McCormick's awesome jokes, that remind me, even in my busy life, I can still take a minute ...Full ReviewThe app is user friendly, you can also follow your favorites, to get new videos from them. I especially like Venus, the two-faced cat, Dancin' Dustin who is an inspiration to my Autistic teenage Son, and Cory McCormick's awesome jokes, that remind me, even in my busy life, I can still take a minute to laugh at something that's just frackin funny! The artists and gymnasts are absolutely incredible, too! You see clips from people all over the world; it really is amazing! It's addictive for sure!",5,786
worst experience ever I just used it for two and after no videos are available in app and it is saying that I'm not eligible to use the app. I'm 23 yrs old why I'm not eligible to use this app and I report a problem also they never resolve it. And still it is saying hot videos list is empty. why.......Full Reviewworst experience ever I just used it for two and after no videos are available in app and it is saying that I'm not eligible to use the app. I'm 23 yrs old why I'm not eligible to use this app and I report a problem also they never resolve it. And still it is saying hot videos list is empty. why.....,1,1340
I have a problem..I was scrolling down tik tok like usual and all of a sudden it takes me to the 'for you' page and I tried going to 'following' but it said that I had to log in/sign up but i already had for weeks now.I put in my personal information but it didnt log back in to my old account!What I...Full ReviewI have a problem..I was scrolling down tik tok like usual and all of a sudden it takes me to the 'for you' page and I tried going to 'following' but it said that I had to log in/sign up but i already had for weeks now.I put in my personal information but it didnt log back in to my old account!What I really want to know is how and why this happened!?!thank you for your patience and time!,4,801
"Fun app, but only giving 2 for many reasons. 1. Tiktok never gets back to its users and never actually looks at reports or issues. Ive seen folks lives get suspended for MONTHS simply because they boot a child who shouldn't even be on the app and the kid reports. They need to actually look at what p...Full ReviewFun app, but only giving 2 for many reasons. 1. Tiktok never gets back to its users and never actually looks at reports or issues. Ive seen folks lives get suspended for MONTHS simply because they boot a child who shouldn't even be on the app and the kid reports. They need to actually look at what people are complaining about and take action when uts needed. 2. The age needs to be raised. Yes, I know it use to be a kids app, but its not anymore. It needs to be 18+, no exceptions.",2,942
"This used to be my most favourite app, but now I've found out that your deleting accounts with less than 1k fans. JUST WHY?! It's seems like the only people you care about who are on your app are more famous people. Also, some people only want their family and friends following them. Your ratings wi...Full ReviewThis used to be my most favourite app, but now I've found out that your deleting accounts with less than 1k fans. JUST WHY?! It's seems like the only people you care about who are on your app are more famous people. Also, some people only want their family and friends following them. Your ratings will go down MASSIVELY when you start deleting accounts.",4,151
