,review,rating,support
0,"FINALLY events displayed on a map!! but why only 20 at a time? Why can't I see every event in a designated area? This makes me think i'm still missing stuff. Can you please add this map feature to the desktop website? Now if only you could make ALL real estate/rental listings show up on a map in my groups and marketplace (all my groups plus public posts aggregated into marketplace), PLEASE PLEASE make rental listings easier to search this way!",4,131
1,"I wanted to uninstall Facebook but still get event info, but this app is really poorly designed for finding things you want to do. It's all controlled algorithmically rather than just being able to find the same events as I would on the FB app without all the addictive brainhacking FB is doing. I can't believe that this isn't on purpose.",2,69
2,"This could've been a great alternative to Facebook event system without the social clutter however, a lot of events never show up and somehow gets filtered compared to Facebook. Even following a venue that on Facebook has the events listed some of those events never show up in Local obviously making this app subpar if you can't rely on all the events actually being displayed and thefore constantly have to double check between apps.",2,88
3,Just downloaded this app. The map feature doesn't work. Just a grey graph screen. At first I didn't think it would bother me but I was wrong. It's driving me nuts. Such a basic feature to the app... disappointed.,3,9
4,APPsolutely recommended 4 experiences + to get out there + grow your life. U can search anywhere for whats on + also just explore any area. Calendar + events on maps is great. Also lists what events your friends are going to. Recommends other events for you too. just having notifications about the events you are interested in is brilliant. no more nosy scrolling thru everybody's personal news. you can also sort your preferences on f.b to only see what you want to see with the see first feature.,4,16
5,"Can't even sign in. I enter my correct password, then enter my 2 step verification code, then it tells me my password was incorrect. So I changed my password, still no dice. Brilliant.",1,3
6,"I can finally uninstall the main Facebook app! As someone who hates checking Facebook amongst all of its clutter, but also loves to find and explore events through it, this is a great tool. I love how I can still get notifications, except the only notifications I get are related to events, and are a really useful. The UI is lovely to look at as well!",5,1669
7,"Wow what a let down! This app has so much potential! What happened? Verrry laggy; takes ten times as long to scroll. Searching?! Nope, nothing popped up for my searches, however going back to FB I can find what I was searching for. I really wanted to like this. Hopefully there is a revamp soon.",2,1183
8,"Keeps you informed about all the goings ons in your area (or selected area) based on your interests. Not just geared towards young party animals! Cater to a vast array of people. Theres plenty for All ages, locations and interests!",5,30
9,Great to use to find events locally and to friends who are interested. It can pin point and save your places on the map. Just what I need!,5,10
10,love knowing what is going on,4,
11,Doesn't Work - Blank Screen,4,1
12,Best of all must downloden,5,
13,brilliant extremely useful,5,
14,waste of time,1,
15,very wroast app,2,
16,"Wow. What a let down. Here's an idea, Facebook. If you're going to migrate the event filtering features over to the main app make sure it's not broken. I search for things happening in my area and it suggest events many county's over. What do you expect, that I got the Facebook money to take 3 taxis over 6 hours?",2,438
17,"Lots of glitches (ie: ""more details"" doesn't expand the data, following a notification doesn't take you to the right place, I could go on). This app would be very useful if functioning properly. I find myself going to the main Facebook app to do things this can't. Edit 4/15/19 still lots of glitches. Local shows blank screen when clicking on notification. Unable to see notification again as it is not listed in the regular Facebook app notification log.",2,42
18,Was looking for events for my birthday in my city. It showed events on that would happen and end days before. When it did show an event it was almost 18 miles away. Map failed to load several times. Not worth the download if you plan to enjoy activities nearby. Two stars because of the volume of events even though they are no where accurate by location or time.,2,71
19,"Thought I would love, since I'm kind of new in town. Perfect way to see what's going on. Wouldn't take my correct email/PW combo, so buh-bye. Not giving up time out of my day to straighten this out. Uninstalling app now.",1,117
20,"It's nice to be able to see events outside of Facebook, but it has a few things that don't work well. Typing is glitchy. It doesn't automatically capitalize, space after punctuation, or other defaults. You have to hit space 3 times after each word to get it to work. It would also be nice to have control over what notifications you receive. Currently there's no settings in the app, so you can only block or allow all on your phone. I don't need a daily guide, but I would like to see new invites.",3,43
21,"There needs to be options to customize this app. I would like to be able to set my preferences. I don't want to have to scroll through events for kids. I'm wasting alot of time looking for what interests me, which defeats the purpose of this app. Please fix.",3,308
22,"We had reserved seats, but had to wait in line outside for over 2 hrs. Was no bathroom facilities outside and they would not let you in the building till 3 PM. Needs to be more organized as far as parking and getting in",4,2
23,"Finally, the last reason I kept Facebook app is gone and I can uninstall the app. Thanks you for this! The app is buggy and slow to respond. It takes unbelievable 95 MBs of space but hey, it's the first release :)",3,276
24,The app itself is great but the execution is very hit or miss. The app consistently freezes or doesn't load. One specific bug is when I try to view my local guide list that I made and i have to force close the app. It does get tedious and annoying when I just want to view the guide I made but can't even access 😕,3,82
